0.0	0.14680611432129625	0.648
0.01	0.1468193043408763	1.312
0.02	0.1468324954374838	1.966
0.03	0.14684568761120834	2.600
0.04	0.14685888086213927	3.232
0.05	0.1468720751903663	3.850
0.06	0.1468852705959789	4.475
0.07	0.14689846707906656	5.117
0.08	0.1469116646397188	5.752
0.09	0.1469248632780251	6.397
0.1	0.14693806299407508	7.038
0.11	0.14695126378795817	7.638
0.12	0.14696446565976393	8.279
0.13	0.1469776686095818	8.967
0.14	0.14699087263750135	9.581
0.15	0.14700407774361213	10.207
0.16	0.14701728392800362	10.850
0.17	0.1470304911907653	11.476
0.18	0.1470436995319867	12.148
0.19	0.14705690895175735	12.798
0.2	0.14707011945016676	13.413
0.21	0.1470833310273044	14.056
0.22	0.14709654368325983	14.696
0.23	0.14710975741812246	15.353
0.24	0.14712297223198204	15.995
0.25	0.14713618812492782	16.657
0.26	0.14714940509704943	17.300
0.27	0.14716262314843642	17.913
0.28	0.1471758422791782	18.566
0.29	0.14718906248936425	19.193
0.3	0.14720228377908423	19.850
0.31	0.1472155061484275	20.492
0.32	0.1472287295974837	21.136
0.33	0.14724195412634222	21.763
0.34	0.1472551797350926	22.398
0.35	0.14726840642382436	23.040
0.36	0.14728163419262705	23.680
0.37	0.14729486304159006	24.307
0.38	0.14730809297080297	24.970
0.39	0.1473213239803553	25.573
0.4	0.14733455607033652	26.202
0.41	0.14734778924083608	26.834
0.42	0.14736102349194358	27.444
0.43	0.14737425882374847	28.090
0.44	0.14738749523634026	28.695
0.45	0.1474007327298085	29.320
0.46	0.14741397130424258	29.944
0.47	0.14742721095973213	30.555
0.48	0.14744045169636652	31.335
0.49	0.14745369351423535	31.976
0.5	0.1474669364134281	32.602
0.51	0.1474801803940341	33.243
0.52	0.14749342545614316	33.876
0.53	0.1475066715998445	34.511
0.54	0.14751991882522783	35.125
0.55	0.1475331671323825	35.773
0.56	0.14754641652139802	36.404
0.57	0.1475596669923639	37.044
0.58	0.1475729185453697	37.665
0.59	0.1475861711805048	38.319
0.6	0.14759942489785874	38.977
0.61	0.1476126796975211	39.617
0.62	0.1476259355795812	40.236
0.63	0.14763919254412872	40.866
0.64	0.147652450591253	41.508
0.65	0.14766570972104362	42.150
0.66	0.14767896993359	42.790
0.67	0.1476922312289817	43.419
0.68	0.14770549360730817	44.047
0.69	0.14771875706865892	44.659
0.7	0.14773202161312335	45.310
0.71	0.14774528724079108	45.929
0.72	0.14775855395175155	46.577
0.73	0.14777182174609413	47.207
0.74	0.14778509062390857	47.831
0.75	0.14779836058528403	48.461
0.76	0.14781163163031022	49.099
0.77	0.14782490375907664	49.729
0.78	0.1478381769716726	50.367
0.79	0.14785145126818763	51.010
0.8	0.1478647266487114	51.651
0.81	0.14787800311333313	52.304
0.82	0.14789128066214244	52.931
0.83	0.14790455929522875	53.548
0.84	0.14791783901268163	54.192
0.85	0.14793111981459048	54.838
0.86	0.1479444017010448	55.445
0.87	0.14795768467213408	56.055
0.88	0.14797096872794782	56.700
0.89	0.1479842538685754	57.335
0.9	0.14799754009410637	57.943
0.91	0.1480108274046302	58.571
0.92	0.14802411580023644	59.226
0.93	0.14803740528101436	59.852
0.94	0.14805069584705363	60.464
0.95	0.1480639874984436	61.123
0.96	0.14807728023527386	61.751
0.97	0.1480905740576337	62.397
0.98	0.14810386896561276	63.033
0.99	0.14811716495930047	63.632
1.0	0.14813046203878624	64.287
1.01	0.14814376020415956	64.930
1.02	0.14815705945550997	65.554
1.03	0.1481703597929269	66.202
1.04	0.14818366121649973	66.834
1.05	0.148196963726318	67.540
1.06	0.14821026732247122	68.164
1.07	0.14822357200504876	68.805
1.08	0.14823687777414016	69.418
1.09	0.14825018462983486	70.029
1.1	0.14826349257222224	70.673
1.11	0.14827680160139192	71.309
1.12	0.14829011171743323	71.960
1.13	0.14830342292043563	72.586
1.14	0.14831673521048871	73.228
1.15	0.14833004858768187	73.850
1.16	0.1483433630521044	74.507
1.17	0.14835667860384605	75.133
1.18	0.14836999524299602	75.770
1.19	0.14838331296964388	76.398
1.2	0.14839663178387916	77.040
1.21	0.14840995168579116	77.666
